bus_line_name,station_name,location,geo
绵阳14(红星水库)公交车路线(红星水库—华兴街口),洞子口,"105.403520,31.221097","{'formatted_address': '四川省绵阳市盐亭县昆仑山洞子口', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '盐亭县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510723', 'street': [], 'number': [], 'location': '105.403520,31.221097', 'level': '兴趣点'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),蚕茧站,"105.073250,30.857411","{'formatted_address': '四川省绵阳市三台县蚕茧站', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.073250,30.857411', 'level': '兴趣点'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),抗香铺,"104.824386,31.499979","{'formatted_address': '四川省绵阳市游仙区抗香铺', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.824386,31.499979', 'level': '村庄'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),砖厂,,
绵阳14(红星水库)公交车路线(红星水库—华兴街口),柏树垭,,
绵阳14(红星水库)公交车路线(红星水库—华兴街口),高石梯,,
绵阳14(红星水库)公交车路线(红星水库—华兴街口),冯家店,,
绵阳14(红星水库)公交车路线(红星水库—华兴街口),五星村,"104.350450,32.167283","{'formatted_address': '四川省绵阳市平武县五星村', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '平武县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510727', 'street': [], 'number': [], 'location': '104.350450,32.167283', 'level': '村庄'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),招呼站8401,"104.765724,31.475395","{'formatted_address': '四川省绵阳市游仙区招呼站', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.765724,31.475395', 'level': '兴趣点'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),技术学院,"104.790048,31.490856","{'formatted_address': '四川省绵阳市游仙区绵阳职业技术学院', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.790048,31.490856', 'level': '兴趣点'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),师范学院,"104.783845,31.490548","{'formatted_address': '四川省绵阳市游仙区师范学院', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.783845,31.490548', 'level': '兴趣点'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),师范学院招呼站,"104.783845,31.490548","{'formatted_address': '四川省绵阳市游仙区师范学院', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.783845,31.490548', 'level': '兴趣点'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),市林业科技中心,"104.776711,31.487132","{'formatted_address': '四川省绵阳市游仙区市林业科技中心', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.776711,31.487132', 'level': '兴趣点'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),芙蓉村,"105.194826,31.072773","{'formatted_address': '四川省绵阳市三台县芙蓉村', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.194826,31.072773', 'level': '村庄'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),仙人桥一段,"104.774663,31.479308","{'formatted_address': '四川省绵阳市游仙区仙人桥', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.774663,31.479308', 'level': '热点商圈'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),仙人桥,"104.774663,31.479308","{'formatted_address': '四川省绵阳市游仙区仙人桥', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.774663,31.479308', 'level': '热点商圈'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),富乐汽车站(仙海大道),"104.770551,31.481601","{'formatted_address': '四川省绵阳市游仙区富乐汽车站', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '游仙区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510704', 'street': [], 'number': [], 'location': '104.770551,31.481601', 'level': '兴趣点'}"
绵阳14(红星水库)公交车路线(红星水库—华兴街口),华兴街口,"104.422957,31.461676","{'formatted_address': '四川省绵阳市安州区华兴街', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '安州区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510705', 'street': [], 'number': [], 'location': '104.422957,31.461676', 'level': '道路'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),五七五厂,"104.645561,31.492271","{'formatted_address': '四川省绵阳市涪城区五七五厂', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.645561,31.492271', 'level': '兴趣点'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),三叉路口,,
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),黄家祠,"104.659546,31.472483","{'formatted_address': '四川省绵阳市涪城区黄家祠', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.659546,31.472483', 'level': '村庄'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),何家祠,"104.823188,31.203914","{'formatted_address': '四川省绵阳市三台县何家祠村', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '104.823188,31.203914', 'level': '村庄'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),普明北街,"104.666710,31.474575","{'formatted_address': '四川省绵阳市涪城区普明北街', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.666710,31.474575', 'level': '道路'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),万兴街口,"104.673043,31.472835","{'formatted_address': '四川省绵阳市涪城区万兴街', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.673043,31.472835', 'level': '道路'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),外国语学校,"104.680409,31.474946","{'formatted_address': '四川省绵阳市涪城区外国语学校', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.680409,31.474946', 'level': '兴趣点'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),富强口腔门诊部,"104.683922,31.471884","{'formatted_address': '四川省绵阳市涪城区富强口腔门诊部', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.683922,31.471884', 'level': '兴趣点'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),21世纪花园,"104.685704,31.469829","{'formatted_address': '四川省绵阳市涪城区21世纪花园', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.685704,31.469829', 'level': '兴趣点'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),双碑中街,"104.688308,31.465506","{'formatted_address': '四川省绵阳市涪城区双碑中街', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.688308,31.465506', 'level': '道路'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),三五三六厂,"104.689758,31.468389","{'formatted_address': '四川省绵阳市涪城区三五三六厂', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.689758,31.468389', 'level': '兴趣点'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),万向装饰建材城,"104.697526,31.462414","{'formatted_address': '四川省绵阳市涪城区万向装饰建材城', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.697526,31.462414', 'level': '兴趣点'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),爱尔眼科医院花园市场,,
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),火车客站,"104.716323,31.458812","{'formatted_address': '四川省绵阳市涪城区火车客站', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.716323,31.458812', 'level': '兴趣点'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),临园路西段,"104.719048,31.457813","{'formatted_address': '四川省绵阳市涪城区临园路西段', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.719048,31.457813', 'level': '道路'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),花园小区,"104.725676,31.457593","{'formatted_address': '四川省绵阳市涪城区花园小区', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.725676,31.457593', 'level': '兴趣点'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),七星楼,"104.733162,31.462002","{'formatted_address': '四川省绵阳市涪城区七星楼', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.733162,31.462002', 'level': '村庄'}"
绵阳11(五七五厂)公交车路线(五七五厂—富乐路口凯德广场),富乐路口凯德广场,"104.741317,31.464101","{'formatted_address': '四川省绵阳市涪城区凯德广场', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.741317,31.464101', 'level': '兴趣点'}"
绵阳13公交车路线(建国门—四川幼专),建国门,,
绵阳13公交车路线(建国门—四川幼专),安昌路口,"104.553308,31.533108","{'formatted_address': '四川省绵阳市安州区安昌路', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '安州区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510705', 'street': [], 'number': [], 'location': '104.553308,31.533108', 'level': '道路'}"
绵阳13公交车路线(建国门—四川幼专),华西证券,"104.744174,31.460270","{'formatted_address': '四川省绵阳市涪城区华西证券', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.744174,31.460270', 'level': '兴趣点'}"
绵阳13公交车路线(建国门—四川幼专),富乐路口凯德广场,"104.741317,31.464101","{'formatted_address': '四川省绵阳市涪城区凯德广场', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '涪城区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510703', 'street': [], 'number': [], 'location': '104.741317,31.464101', 'level': '兴趣点'}"
